Locality,Lat.,Long.,"SurfaceElevation(m)","LakeSurfaceArea(km2)","MeanDepth (m)","Max.Depth(m)",Tw_Jan,Tw_Feb,Tw_Mar,Tw_April,Tw_May,Tw_Jun,Tw_July,Tw_Aug,Tw_Sept,Tw_Oct,Tw_Nov,Tw_Dec,MAWT_°C,Ta_Jan,Ta_Feb,Ta_Mar,Ta_April,Ta_May,Ta_Jun,Ta_July,Ta_Aug,Ta_Sept,Ta_Oct,Ta_Nov,Ta_Dec,MAAT_(C),Tw_ref,Ta_ref,Tw_AMJJAS,Ta_AMJJAS
"Ebri√© Lagoon, Cote D'Ivoire",5.261,-4.565,0,200,5,5,29.4,30,31.2,31.3,30.7,28.8,27.2,27.2,27.8,29,30.2,30,29.4,26.6,27.5,27.7,27.7,27.1,25.9,25,24.5,25,26.1,26.9,26.5,26.4,3,e,28.8,25.87
Lake Lanao,8,123.832,702,357,60,112,24.7,24.8,24.5,26.6,25.5,25.5,25.3,25.2,25.5,25.5,25.5,25.2,25.3,21.5,22,22.3,23.1,23.8,23.7,23.2,23.4,23.4,23.2,22.8,22.2,19,6,6,25.6,23.43
"Lake Pawlo, Ethiopia, part of Bishoftu lakes",8.802,39.084,1800,1,,100,20.5,20.2,22.5,22.7,23.5,23,22.5,23.2,25,23,22.5,21,22.5,17.1,18.3,19.6,19.7,19.9,19.1,18.2,17.8,18,17.6,16.7,16.4,18.2,1,e,23.3,18.78
"Lake Valencia, Venezuela",10.203,-67.738,410,350,18,39,25.8,25.8,25.9,26.5,27,27.3,28,28.1,28.2,28,28,27,27.1,24.8,25.6,26.6,27.5,28.5,25.2,25.5,25.5,25.7,25.7,25.9,24.5,25.9,7,I,27.5,26.32
Lake Tana,12,37.25,1840,3000,,15,20.5,20.7,22,22.4,24,22.7,22.1,20.6,20.5,22.1,22.4,20.5,21.7,18.5,20,22.2,22.9,22.7,21.1,19.6,19.5,19.8,20.3,19.6,18.4,20.4,8,I,22.1,20.93
Lake Chad,14.266,13.139,244,10000,2,11,20.5,22,23,25.7,28.2,29,28,27.5,27.5,27,25,23,25.5,14,15.1,19.4,24.2,25.9,26.6,25.3,24.2,24.7,22.6,18.4,14.6,21.3,3,e,27.7,25.15
Lake Chilwa,15.5,35.596,622,1750,1,3,28.1,27,26.4,22.3,21.6,21.7,22,23.4,22.1,25.1,27.2,27.5,24.5,22,22,21.7,19.5,16,14.8,14.4,15.3,18.1,21.9,21.9,22,19.1,9,I,22.2,16.35
Florida (central 3 lakes shallow <5.5 m),27.199,-81.246,45,1,2,5,14.3,21.3,22.4,24.8,26.2,29.1,30.5,30.1,28.3,25.5,21.8,17.4,24.3,16.9,17.6,19.8,22,24.8,26.9,27.6,27.7,27,24.2,21,17.9,22.8,10,f,28.2,26.00
Florida (central 3 lakes deep >5.5 m),27.199,-81.246,45,1,5,10,16.9,18.4,20.5,24.2,25.6,29.6,30.8,28.4,27.7,26,21.8,19.2,24.1,16.9,17.6,19.8,22,24.8,26.9,27.6,27.7,27,24.2,21,17.9,22.8,10,f,27.7,26.00
"Reedy Lake, Orange County, Florida",28.416,-81.613,34,1,2,5,16.7,18.6,22.6,25.1,28.8,29.2,30.1,29.5,29.7,27.3,23.2,18.7,25,15.7,16.8,19.4,21.7,24.7,27,27.8,27.8,26.9,23.5,20,16.7,22.3,11,f,28.7,25.98
Florida (central south 3 lakes deep >5.5 m),28.53,-81.597,40,1,5,10,15.8,17.3,20.2,24.1,25.9,28.3,30.1,29.8,27.9,26.1,21.9,17.3,23.7,15.6,16.7,19.4,21.6,24.7,27,27.8,27.8,26.9,23.5,20,16.7,22.3,10,f,27.7,25.97
Florida (central south 3 lakes shallow <5.5 m),28.53,-81.597,40,2,5,5,13.9,16.7,19.2,24.6,20,28,30.5,29.4,27.4,24.5,20.1,18.3,22.7,15.6,16.7,19.4,21.6,24.7,27,27.8,27.8,26.9,23.5,20,16.7,22.3,10,f,26.7,25.97
"Wadi El-Rayan Lake, Egypt",29.176,30.447,-40,,,,14.8,16.6,18.7,20.2,24.4,25.8,26.4,28.2,26.2,23,20.5,17.4,21.9,12.5,13.7,16.1,22,25.9,26.3,27.9,28.2,26.3,25,19.8,13,21.4,12,12,25.2,26.10
"Caillou Lake, Terrebonne Parish, Louisiana",29.249,-90.921,0,40,1,3,13.6,15.2,19.1,22.8,27,29.6,30.3,30.6,28.2,23.9,19.1,14.2,22.8,12.1,13.4,16.7,20.1,24.1,27.3,28.2,28.1,26.6,22.2,16.9,13.3,20.7,11,f,28.1,25.73
"Lake George, Volusia County, Florida",29.308,-81.606,122,90,2,5,15.7,15.7,18.8,22.2,24.9,27.7,29,29.1,27.7,24.4,19.7,16.5,22.6,13.6,14.8,17.7,20.5,24,26.8,27.9,27.6,26.4,22.4,18.4,14.7,21.2,11,f,26.8,25.53
"Caminada Bay, Jefferson Parish, Louisiana",29.325,-89.941,0,100,2,2,14.4,14.9,18.9,22.8,26.4,29.2,30.2,30.2,28.9,25.3,20.6,15.8,23.1,12.1,13.5,16.8,20.1,24.1,27,28,27.9,26.3,21.8,17.1,13.4,20.7,11,f,28.0,25.57
"Lake Judge Perez, Plaquemines Parish, Louisian",29.423,-89.951,0,2,1,3,13.8,15,18.9,22.7,26.7,29.4,30.2,30.3,28.2,23.8,19.3,14.6,22.7,12.4,13.9,17,20.4,24.3,27.3,28.2,28.2,26.7,22.4,17.6,13.9,21,11,f,27.9,25.85
"Lake Qarun, Egypt",29.433,30.486,-43,78,5,12,15,18.1,21,22.7,25,28.1,29.6,27.5,27.2,24.8,21.2,16,23,12.8,14.2,17,21.4,24.9,27.7,28.5,28.3,26.5,23.5,18.4,14.2,21.5,3,I,26.7,26.22
"Little Lake, Jefferson Parish, Louisiana",29.467,-90.1,0,50,1,3,13.1,14.3,19,22.7,26.7,29.5,29.9,30,28.1,23.8,18.9,13.8,22.5,12.1,13.5,16.8,20.1,24.1,27,28,27.9,26.3,21.8,17.1,13.4,20.7,11,f,27.8,25.57
"Unnamed lake Lafourche Parish, Louisiana",29.518,-90.181,0,1,1,1,13.2,14.9,18.6,22.5,26.5,29.3,30.1,30.2,28.1,23.7,18.6,13.8,22.5,11.9,13.3,16.7,19.9,24,26.9,27.9,27.8,26.1,21.5,16.8,13.1,20.5,11,f,27.8,25.43
Florida (north central 3 lakes - shallow <5.5 m),29.672,-82.278,54,1,3,5,11.9,10,17,21.2,20.5,27.8,29.8,29.3,27.4,23.5,19.7,14.5,21.1,12.7,14.1,17.2,19.8,23.6,26.4,27.4,27.1,25.8,21.4,17.3,13.7,20.5,10,f,26.0,25.02
Florida (north central 3 lakes - deep >5.5 m),29.672,-82.278,54,1,10,10,13.2,10.8,15.8,20.1,19.5,26.9,28.9,27.8,26.8,23.7,19.8,16,20.8,12.7,14.1,17.2,19.8,23.6,26.4,27.4,27.1,25.8,21.4,17.3,13.7,20.5,10,f,25.0,25.02
"Hog Lake, Vermilion Parish, Louisiana",29.674,-92.136,0,0,1,1,12.7,15,18.5,22.7,26.6,29.5,30.4,30.5,28.1,23.5,18.3,12.9,22.4,10.3,12,15.9,19.4,23.7,26.7,27.6,27.5,25.6,20.5,15.6,11.8,19.7,11,f,28.0,25.08
"Near Vermillion Bay, St. Mary Parish, Louisiana",29.713,-91.88,0,1,1,1,12.4,14.4,17.8,22.2,26,29.1,30.1,29.9,27.9,23.3,18.2,13.1,22,10.7,12.2,16,19.5,23.8,26.8,27.7,27.5,25.7,20.7,15.8,12,19.9,11,f,27.5,25.17
"Lake Charlotte, Chambers County, Texas",29.867,-94.715,5,1,2,2,12.5,14,17.2,21.6,26.2,29.3,30.7,30.7,27.9,22.7,18,13.7,22,11,12.7,16.6,20,24,27.2,28.4,28.3,26,21.3,16.2,12.2,20.3,11,f,27.7,25.65
"Calcaseiu Lake, Cameron Parish, Louisiana",30.032,-93.299,0,256,1,3,13,14.4,18,22.3,26.3,29.3,30.3,30.6,28.3,23.9,19,13.9,22.4,10.8,12.7,16.5,19.9,24.1,27.1,28.2,28,25.9,21,15.9,12,20.2,11,f,27.9,25.53
"Lake Charles, Calcasieu Parish, Louisiana",30.237,-93.247,0,2,2,5,12,13.5,17.4,21.7,25.6,28.6,29.8,30.6,29.1,24,18.8,13.4,22,10,11.9,15.8,19.3,23.5,26.6,27.8,27.6,25.3,20.2,15.2,11.3,19.6,11,f,27.6,25.02
"Dead Sea, Israel",31.33,35.5,-423,810,118,377,21.8,22.3,22.7,25.5,27.4,30.6,33.5,33.5,32.4,29.5,26,23.4,27.4,18.3,18.9,20.8,24.2,27.7,30.8,32.7,32.9,31.5,28.9,24,19.9,25.9,18,g,30.5,29.97
"Lake Waco, Mclennan County, Texas",31.575,-97.194,143,31,,26,10.5,11.4,14.8,19.9,23.9,27.7,29,29.8,27.4,23.9,17.5,12.7,20.7,7.7,10.4,14.7,18.7,23,26.9,29,28.9,25.5,20,13.8,9.1,19,11,f,26.3,25.33
"Sea of Galilee, Israel",32.833,35.55,-209,170,25.6,43,15.7,14.7,16,19.4,23.2,26.7,27.9,28.6,28.4,26.3,22.3,18,22.3,12,13,15,18,22,24,28,29,28,20,18,14,20.1,13,e,25.7,24.83
"Unnamed lake, Tarrant County, Texas",32.853,-97.044,154,1,,,11.3,9.4,15.5,19,22.3,23,24.4,24.6,23.1,19.7,15.1,10.7,18.2,6.8,9.7,14.1,18.3,22.7,27.1,29.5,29.2,25.3,19.6,13.1,8.3,18.6,11,f,22.7,25.35
"Bee Lake, Holmes County, Mississippi",33.066,-90.328,34,2,3,5,10.2,10.8,16,20.8,24.7,29.3,30,30.2,26.8,21.8,15.1,10.7,20.5,6.2,8.8,13.2,17.5,22.2,26.1,27.7,27.2,24.1,18.2,12.4,7.9,17.6,11,f,27.0,24.13
"Aguelmame Sidi Ali Lake, Morocco",33.083,-5,2100,40,36,50,7,7,7,9.5,12,16,20,18.5,19,15,7,7,12.1,2.6,3.8,5.6,7.3,11.3,15.8,20.9,20.8,16.8,11.4,6.4,3.1,10.5,3,I,15.8,15.48
"Lake Moultrie, South Carolina",33.215,-79.975,16,240,6,23,8.9,8.6,11.4,16.6,22.7,27.1,28.8,26,25.1,22.3,17.6,11.9,18.9,7.9,9.5,13.6,17.4,21.8,25.4,27.5,26.6,23.9,18.1,13.7,9.4,17.9,11,f,24.4,23.77
"Lake Peachtree, Georgia",33.36,-84.586,232,2,,8,6.7,8.9,12.4,17.4,21.6,26.4,26.3,26.2,23.4,17,11.6,8.7,17.2,6.3,8.3,12.5,16.3,20.5,24.5,26.4,25.7,22.7,16.8,11.9,7.7,16.6,11,f,23.6,22.68
"Salton Sea, CA",33.497,-116.006,-69,974,16,16,14.3,15.7,21.2,25.3,28.6,32.2,33.6,35.3,34,29.3,22.9,17.3,25.8,12.7,15.3,18.4,22,25.9,30.1,32.9,32.6,29.6,23.6,16.3,12.3,22.6,14,f,31.5,28.85
"Strom Thurmond Reservoir, South Carolina",33.84,-82.351,100,288,14,56,6.3,8.2,12.9,17.2,22,27.1,26.4,27.6,24.6,17.9,12.6,9.4,17.7,6,8,12.3,16.3,20.8,24.9,26.9,26.1,23,16.7,11.7,7.3,16.7,11,f,24.2,23.00
"Lake Murray, South Carolina",34.052,-81.221,110,200,,61,11,9.8,11.8,17.1,22.5,27,29.2,28.9,26.3,22.4,18,14.1,19.8,6.6,8.5,12.7,16.8,21.3,25.2,27.2,26.3,23.3,17.2,12.2,7.9,17.1,11,f,25.2,23.35
"Richard Russell Lake, South Carolina",34.101,-82.618,145,108,14,56,5.9,7.7,12.5,17.1,22,27.3,26.3,27.7,23.8,17.5,12.2,8.9,17.4,5.7,7.6,11.8,15.9,20.4,24.5,26.6,25.8,22.6,16.3,11.4,7,16.3,11,f,24.0,22.63
"Lake Hartwell, South Carolina",34.475,-82.816,100,230,15,56,6.6,7.6,12.6,17.2,22.1,27.6,27.2,27.9,23.9,18.1,12.6,9.2,17.7,5.6,7.6,11.8,16,20.4,24.5,26.5,25.7,22.5,16.4,11.3,7,16.3,11,f,24.3,22.60
"Lake Maumelle, Arkansas",34.875,-92.654,107,22,8,18,5.3,7,11.6,17.1,22.8,29,30.2,29.4,25.9,19.7,14.2,7.5,18.3,4.3,7.3,11.8,16.3,20.8,25.1,27.4,26.7,23,16.9,10.6,5.8,16.3,11,f,25.7,23.22
"Pickwick Lake, Mississippi",34.914,-88.247,122,174,,18,5.1,7.5,12.5,16.2,20.9,26.7,28.9,28.2,25.8,20.1,14.2,10.3,18,3.9,6.4,11.1,15.6,20,24.3,26.4,25.7,22.3,16.1,10.5,5.8,15.7,11,f,24.5,22.38
"Lake Norman, NC",35.52,-80.92,213,129,8,30,8.5,9.5,12.7,18.1,23.1,28,30.1,30.3,27.7,21.7,16,10.6,19.7,3.6,5.6,10.3,14.4,19.2,23.3,25.3,24.4,20.8,14.7,9.4,5.3,14.7,11,f,26.2,21.23
"Lake Mead, Temple Basin",36.046,-114.313,366,640,,149,12.9,12.4,13.9,15.8,22.7,24.2,28.5,28.7,27,22.7,19,16.2,20.3,1.4,5.6,9.2,14.2,19.7,24.4,28.9,27.5,23.6,17.5,9.2,1.7,15.2,11,f,24.5,23.05
Lake Mead Sentinel Island,36.057,-114.746,367,640,,149,13.8,13.3,14.2,15.6,20.9,23.7,28.5,28.6,26.5,22.9,19.6,15.6,20.3,9,11.9,15.3,19.8,25.1,30.4,33.7,32.8,28.5,21.3,13.7,9.2,20.9,11,f,24.0,28.38
"Ichkeul Lake, Tunisia",37.176,9.834,50,126,5,5,11.5,11.5,14.5,17.2,19.9,23.2,26,26.3,24.9,21.6,15.6,12.5,18.7,10.9,10.9,12.4,14.7,18.4,22.6,25.7,26.1,23.8,20,15.3,12,17.7,3,e,22.9,21.88
Lake Powell,37.481,-110.702,1127,658,40,170,7.8,7.8,12.2,12.2,17.8,21.7,25.6,26.1,23.3,19.4,16.1,10.6,16.7,2.1,5.8,10.3,14.7,20.2,26,29.4,28.1,23.3,16,8.4,3.1,15.6,11,f,21.1,23.62
"Cheney Reservoir, Sedgwick County, Kansas",37.726,-97.794,427,26,,13,1.5,2.6,7.7,13.2,18.8,23.8,26.3,26.6,22.8,16.6,10.5,3.7,14.5,-0.6,2.6,8,13.4,18.7,24.4,27.3,26.5,21.7,15.1,7,1.2,13.8,11,f,21.9,22.00
"Sussex County, Delaware",38.595,-75.291,1,2,5,5,7,3.4,10.7,13.9,21,25.5,28.2,27.8,24.8,15.9,12,8.3,16.5,2.2,3.3,7.3,12.3,17.5,22.4,24.9,24.1,20.6,14.7,9.5,4.5,13.6,11,f,23.5,20.30
"Unnamed Lake Fairfax County, Virginia",38.885,-77.333,126,0,,,2.7,4.3,8.8,13.3,16.4,21.6,22.1,21,19.1,14.6,8.6,5,13.1,0.4,2.2,6.8,12.3,17.5,22.1,24.7,23.7,19.9,13.5,8,2.9,12.8,11,f,18.9,20.03
"Carson Lake, Nevada",39.343,-118.743,1193,10,,10,3.8,7,9.6,13.2,17,20.1,23.1,21.9,18.5,11.8,6.1,2.9,12.9,0.5,3.9,7.2,10.6,15.2,19.8,24,22.9,18.1,11.8,5,0.5,11.6,11,f,19.0,18.43
"Great Salt Lake South Arm, Utah",40.715,-112.322,1280,1700,5,10,1.1,2.8,6.7,13.3,18.1,22.2,25.6,25,20.6,16.7,7.8,1.7,13.4,-1.4,1.4,6.2,10.1,15.1,20.8,25.2,24.4,18.5,11.5,4.3,-0.7,11.3,11,h,20.8,19.02
"Picatinny Lake, New Jersey",40.96,-74.54,217,2,,6,1.1,2.1,4.1,9.9,15.1,18.7,21.8,20.9,17.4,13.1,7.1,2.5,11.2,-3.8,-2.5,2.4,8.2,14,18.6,21.3,20.5,16.2,10,4.8,-0.9,9.1,11,f,17.3,16.47
"Walworth County, Wisconsin",42.56,-89.488,265,1,,,1.3,2.6,4.8,8.5,12.7,15.5,16.8,16,14,10.6,6.5,2.7,9.3,-8.2,-5.2,1.1,8,14.6,19.8,22.1,20.7,16.2,9.7,2.1,-5.1,8,11,f,13.9,16.90
"Lake Ontario, Buffalo, NY",42.881,-78.895,75,19500,86,244,1.3,-2,0.6,7.8,13.2,18.2,22.4,21.2,15.9,10,6.7,3.1,9.9,-4.4,-3.9,0.5,6.3,12.7,18.1,21.2,20.5,16.6,10.4,4.7,-1,8.5,11,f,16.5,15.90
"Crater Lake, Oregon",42.976,-122.088,1883,21,350,594,4.3,3.9,4,4.4,5.5,9.4,14.2,16.5,14.2,11.4,7.6,5.1,8.4,-2.6,-2,-0.7,1.2,4.5,8.5,12.9,13.2,10.1,5.7,-0.3,-2.4,4,11,f,10.7,8.40
"Lake Trasimeno, Italy",43.12,12.101,258,128,4,6,5.5,6,10.2,14.1,19,24.3,27,26,21,17,11.5,7,15.7,4.5,5.5,11,12.5,17,20,24,22.5,19.7,14,10,6,13.9,15,I,21.9,19.28
"Lake Okoboji, Iowa",43.379,-95.181,426,-,,,1.1,-0.4,0.1,2.9,7.8,17.4,20.5,21.1,22.3,19.9,14.6,9.8,11.4,-10.1,-6.4,0.1,7.8,15,20.2,22.5,21.1,16.3,9.4,0,-7.4,7.4,11,f,15.3,17.15
"Lake Winnepesauke, NH",43.589,-71.389,154,71,,65,1.2,2.2,3.5,7.4,13.6,20,24.4,23.4,19,12.7,9.2,3.3,11.7,-7.2,-5.5,-0.1,6.4,13,17.9,20.8,19.7,14.7,8.5,2.8,-3.8,7.3,11,f,18.0,15.42
"Cedar Lake, Manitowoc County, Wisconsin",43.926,-87.94,365,2,,17,0.5,0.2,3.6,7,13.7,21.2,24.7,23.3,17.8,11.2,7.3,0.9,11,-7.9,-5.2,0.4,6.9,13.3,18.5,21.3,20.3,15.9,9.5,2.2,-4.8,7.5,11,f,18.0,16.03
"Polk County, Wisconsin",45.41,-92.508,341,0,,,0,0.1,1.2,7.2,15.1,16.5,18.4,17.4,13.1,8.6,3.2,0.4,8.4,-12.1,-8.3,-1.5,6.5,13.8,18.5,21,19.8,14.5,8,-0.8,-8.9,5.9,11,f,14.6,15.68
"Mud Lake, Brown County, South Dakota",45.669,-98.309,390,4,,1,0.8,0.8,2.1,10.2,17.3,21.8,23.2,21.8,16.1,8.6,2.9,2,10.6,-12.6,-8.3,-1.6,6.9,13.9,19,22,20.9,15.1,7.8,-2.1,-9.5,6,11,f,18.4,16.30
"Dakota Lake, Dickey County, North Dakota",45.948,-98.175,390,2,10,5,1.3,1.5,0.6,6.9,14.2,21.1,24.1,23.4,16.4,8.9,2.5,1.7,10.2,-12.9,-8.7,-1.9,6.7,14,19,21.8,20.8,14.9,7.7,-2.3,-9.7,5.8,11,f,17.7,16.20
"Lake near De Tour Village, MI",46.001,-83.903,176,59596,59,228,-2.3,-2.5,-0.5,4,9.1,15.5,18.3,17.6,15.7,8.4,3.4,-1,7.1,-8.8,-8,-3.1,3.7,10.7,15.7,19.1,18.8,14.2,8,2,-4.5,5.6,11,f,13.4,13.70
"Lake Zurich, Switzerland",47.359,8.542,406,87,49,143,5,4,4.5,8.9,14.5,18.7,21.8,21.9,19.2,14.5,11.5,7,12.6,-0.1,0.3,4.5,8.6,12.7,15.9,17.6,17,14,8.6,3.7,0.1,8.5,13,I,17.5,14.30
"Lake Washington, WA",47.613,-122.262,5,86,33,65,7.8,7,7,9,12,16,19,21.5,19,15.5,12.5,9,12.9,4.8,6,7.4,9,12.5,15.2,17.5,17.5,15.2,11,7,4.8,10.7,16,f,16.1,14.48
"Lake Pend Oreille, Pend Oreille County, Washington",48.989,-117.349,646,148,,351,1.1,1.9,4,7.5,11.5,15.2,21,22.4,18.9,12.9,6.7,2.3,10.5,-3.6,-0.7,3.3,7.9,12.2,15.8,19.1,19,14.1,7.6,1.3,-2.9,7.8,11,f,16.1,14.68
"Okanagan Lake at Kelowna, BC",49.886,-119.497,342,6200,76,232,5,5,5.8,7.7,11,15.4,19.2,21,17.5,14.9,10.3,6.3,11.6,-3.7,-1.7,3,8.3,13,16.7,19.7,18.5,13.6,7.9,2.5,-1.1,8.1,17,j,15.3,14.97
"Cheslatta Lake at West End, BC",53.709,-125.625,600,890,,305,1.3,1.9,2.6,4.5,7.7,11.2,13,15.5,13.6,10.3,5.4,2.5,7.4,-9.5,-6.6,-2.5,2.2,6.8,10.4,13,12.9,9.1,4.1,-3.4,-8.1,2.4,17,j,10.9,9.07
"Wollaston Lake at Ross Channel, Saskatchewan",58.481,-103.281,398,2286,21,71,-0.5,-0.5,-0.5,0.5,2.5,9.4,15.4,14.8,9.5,5.7,0.6,-0.3,4.7,-19.2,-17.4,-6.2,1.4,3.8,12.6,16.4,12.6,7.2,2.4,-4.6,-24.3,-1.3,17,j,8.7,9.00
"Lake Athabasca, Saskatchewan",59.382,-108.881,213,204,20,124,2.2,2.2,2.4,3.4,5.2,8.5,14.3,15.7,12.6,9.1,4.2,2.4,6.9,-18.4,-11.6,-4.6,4,6.9,14.1,17.8,15.3,9.7,4.5,-2.3,-18.3,1.4,17,j,10.0,11.30
"Tazin Lake near Outlet, Saskatchewan",59.819,-109.408,213,150,50,100,1.3,1.2,1.3,2.2,3.2,8.1,14.4,16.4,12.1,7.3,3.5,1.5,6,-19.9,-14.6,-5.2,2.5,6.1,13.6,16.6,14.2,8.4,3,-6.1,-19.9,-0.1,17,j,9.4,10.23
"Marsh Lake near Whitehorse, Yukon",60.531,-134.365,600,120,50,100,1.9,1.9,2,3.1,9,13.8,13.3,14.9,13.5,8.2,3.3,2.1,7.3,-20.4,-12.5,-7.7,0.8,7.2,13,14.1,12,7.7,0.8,-8.7,-14.3,-0.7,17,j,11.3,9.13
"Ennadi Lake near Ennadai, Nunavut",61.114,-101.029,311,669,50,100,1.2,1.2,1.1,1.3,1.9,3.8,11.4,13.5,10,4.5,1.3,1.3,4.4,-25,-26.3,-21.4,-12.5,-2.3,8.1,14.1,11.7,5.4,-4.4,-16.1,-23.8,-7.7,17,j,7.0,4.08
"Sekulmun Lake near Whitehorse, Yukon Territory",61.536,-137.59,914,25,50,100,0.9,0.8,1,1.9,3.4,10.2,13.2,13.1,10,5.6,0.7,0.7,5.1,-17.4,-12.6,-6.1,1.9,7.8,12.9,14.8,13.2,7.6,0.8,-9.4,-14.5,-0.1,17,j,8.6,9.70
"Aishihik Lake near Aishihik, Yukon Territory",61.593,-137.411,914,146,30,120,0.9,1,1,2,4.4,9.2,13.2,13.9,9.4,4.5,1.7,0.9,5.2,-21.5,-17.3,-12.4,-4.4,4.2,9.8,11.9,9.9,5,-3.1,-13.5,-20.6,-4.3,17,j,8.7,6.07
"Duncan Lake near Yellowknife, Yukon Territory",62.808,-114.033,213,50,50,200,-0.6,-0.7,-0.8,0,3.3,8.1,13.7,18.8,13.6,7.3,0.2,-0.5,5.2,-27.3,-25.4,-18.4,-6.6,4,12,15.4,12.9,6.1,-2.2,-14.6,-25.1,-5.8,17,j,9.6,7.30
"Mayo Lake, BC",63.773,-135.388,660,50,50,200,1,1,1,2.1,5.1,9.8,12.6,14.8,11.5,4.9,1.8,1,5.5,-25.5,-19.6,-10.7,-0.1,8,13.7,15.3,12.5,6.4,-2.2,-15.3,-22.4,-3.3,17,j,9.3,9.30
