Serial #,OMNH Item #,Specimen ID,Sample ID,Weight (µg),Date sampled,Taxon,thermophysiology,Habitat,Eva_ Sens,Eco,Element type,samp_type,Tissue,Xtal Wt (ug),Yield,# elements in sample,Glue?,Analysis,Batch #,Crown Ht (mm),Identifier 1,Amount,Ampl 28 (mV),Area 28 (Vs),%O,d18O (VSMOW)
49,60433,60433-f,60433-f.1,567.5,2/8/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,enamel,694,1.222907489,,1,1,1.1,,60433-f1,0.694,4668,58.187,15.58632601,9.753627578
44,60433,60433-g,60433-g.1,513.6,2/8/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,enamel,555.1,1.080802181,,1,1,1.1,,60433-g1,0.5551,3893,48.29,16.32361747,13.38731078
39,60442,60442-a,60442-a.1,510.2,2/6/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,serial,enamel,355.2,0.69619757,,,1,1.2,,60442-a1,0.3552,2515,29.795,15.78569011,13.02709329
41,60442,60442-a,60442-a.3,536.2,2/6/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,serial,enamel,380,0.708690787,,,1,1.3,,60442-a3,0.38,2596,31.151,15.38594822,13.06630438
50,61309,61309-a,61309-a.1,532.5,2/8/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,enamel,708.8,1.331079812,,1,1,1.1,4,61309-a1,0.7088,4752,62.746,16.14069041,17.24457823
51,61309,61309-b,61309-b.1,538.4,2/8/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,enamel,581.4,1.07986627,,1,1,1.1,5,61309-b1,0.5814,3812,46.844,15.03416384,17.11409049
52,61309,61309-b,61309-b.2,564.2,2/8/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,dentine,204.3,0.362105636,,1,1,1.1,5,61309-b2,0.2043,1558,18.241,17.0154462,16.76394579
54,61309,61309-d,61309-d.1,511.5,2/9/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,dentine,634.2,1.239882698,,1,1,1.1,7.6,61309-d1,0.6342,4562,60.426,17.37255849,15.8785373
58,61399,61399-b,61399-b.1,539.7,2/9/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,enamel,570.6,1.05725403,,1,1,1.1,21.1,61399-b1,0.5706,3375,43.945,14.3840056,10.97414118
56,61399,61399-a,61399-a.2,523,2/9/22,Neosuchian G,ectotherm,Semi-aquatic,EI,Croc G,tooth,,enamel,653.1,1.24875717,,1,1,1.1,22.9,61399-e2,0.6531,3871,49.018,13.99521259,17.61436836
91,27858,27858-c,27858-c.1,494.5,4/16/22,Lepisosteids,ectotherm,aquatic,EI,Fish,tooth,bulk,enamel,470.8,0.952072801,,1,1,1.2,,27858-c1,0.4708,3204,40.055,15.85720243,13.25065404
92,27858,27858-d,27858-d.1,499.4,4/16/22,Lepisosteids,ectotherm,aquatic,EI,Fish,tooth,bulk,enamel,401,0.802963556,,1,1,1.2,,27858-d1,0.401,2632,32.937,15.19340546,15.55814106
94,27858,27858-f,27858-f.1,544.4,4/16/22,Lepisosteids,ectotherm,aquatic,EI,Fish,tooth,bulk,enamel,425.4,0.781410727,,1,1,1.2,,27858-f1,0.4254,2848,35.617,15.53921166,12.10134695
96,27858,27858-h,27858-h.1,581.3,4/16/22,Lepisosteids,ectotherm,aquatic,EI,Fish,tooth,bulk,enamel,597.4,1.027696542,,1,1,1.2,,27858-h1,0.5974,3964,50.702,15.96163984,14.12119185
,27873,27873-a,27873-a.1,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-a.1,0.205,1331,18.208,16.28,14.47
,27873,27873-a,27873-a.2,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-a.2,0.321,2085,27.877,14.98,14.78
,27873,27873-a,27873-a.3,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-a.3,0.392,2630,35.354,15.3,15.01
,27873,27873-b,27873-b.1,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-b.1,0.289,1977,26.406,15.88,14.93
,27873,27873-b,27873-b.2,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-b.2,0.265,2227,28.453,18.64,16.23
,27873,27873-b,27873-b.3,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-b.3,0.341,2090,28.271,14.4,10.15
,27873,27873-c,27873-c.1,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-c.1,0.187,1339,17.751,17.65,12.99
,27873,27873-d,27873-d.1,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-d.1,0.156,1011,13.78,17.11,15.57
,27873,27873-e,27873-e.1,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-e.1,0.234,1769,22.737,17.24,15.12
,27873,27873-e,27873-e.3,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-e.3,0.223,1301,17.32,14.43,15.72
,27873,27873-j,27873-j.1,,4/5/23,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,,,,,,,,27873-j.1,0.167,1179,15.798,17.92,15.65
34,61221,61221-a,61221-a.1,491.7,2/5/22,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,330.5,0.67215782,,,1,1.2,,61221-a1,0.3305,2259,28.181,15.97009856,14.21929209
35,61221,61221-b,61221-b.1,508.2,2/5/22,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,292.1,0.574773711,,,1,1.2,,61221-b1,0.2921,1975,24.521,15.27213754,12.60158682
36,61221,61221-c,61221-c.1,580.6,2/5/22,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,551.9,0.950568378,,,1,1.2,,61221-c1,0.5519,3640,46.72,15.87308735,14.76139967
38,61221,61221-e,61221-e.1,513.2,2/6/22,Lepisosteids,ectotherm,aquatic,EI,Fish,ganoid scale,bulk,ganoine,327.8,0.638737334,,,1,1.2,,61221-e1,0.3278,2162,27.206,15.17688316,14.87163958
147,61573,61573-a,61573-a.1,567.5,9/2/22,Lepisosteids,ectotherm,aquatic,EI,Fish,tooth,bulk,enamel,793.2,1.397709251,,,2,2.1,,61573-a1,0.7932,3068,37.966,8.854489586,13.99884977
148,61573,61573-b,61573-b.1,534.8,9/2/22,Lepisosteids,ectotherm,aquatic,EI,Fish,tooth,bulk,enamel,,0,,,2,2.1,,61573-b1,0.5058,3319,40.126,14.55050623,11.52110142
152,61573,61573-c,61573-c.1,304.1,9/2/22,Lepisosteids,ectotherm,aquatic,,Fish,tooth,bulk,enamel,,0,,,2,2.1,,61573-c1,0.2211,1660,20.41,18.49795894,9.468175898
97,60391,60391-a,60391-a.1,365.7,4/28/22,Allosauroid,endotherm,terrestrial,ES,Large Theropod,tooth fragment,serial,enamel,463.5,1.267432322,,,1,1.3,,60391-a1,0.4635,3220,40.036,16.11642082,15.09799283
98,60391,60391-a,60391-a.2,383.6,4/28/22,Allosauroid,endotherm,terrestrial,ES,Large Theropod,tooth fragment,serial,enamel,408.4,1.064650678,,,1,1.3,,60391-a2,0.4084,2802,33.624,15.44452559,14.58912521
99,60391,60391-a,60391-a.3a,344.4,4/28/22,Allosauroid,endotherm,terrestrial,ES,Large Theropod,tooth,serial,enamel,378.7,1.099593496,,,1,1.3,,60391-a3a,0.3787,2571,30.87,15.31533226,14.34743249
100,60391,60391-a,60391-a.3b,390.7,4/28/22,Allosauroid,endotherm,terrestrial,ES,Large Theropod,tooth,serial,enamel,514.9,1.317890965,,,1,1.3,,60391-a3b,0.5149,3490,43.978,16.02465288,14.87010363
110,60430,60430-b,60430-b.1,521.8,5/24/22,Ornithischians,endotherm,terrestrial,ES,Ornithischian,tooth,,enamel,360.6,0.691069375,,,1,1.3,,60430-b1,0.36,2461,29.965,15.30043356,19.53171901
117,61341,61341-a,61341-a.1,375.5,5/24/22,Ornithischians,endotherm,terrestrial,ES,Ornithischian,tooth,,enamel,381.3,1.015446072,,,1,1.3,,61341-a1,0.3813,2608,32.955,15.98362286,17.02903048
118,61389,61389-a,61389-a.1,378.3,5/24/22,Ornithischians,endotherm,terrestrial,ES,Ornithischian,tooth,,enamel,206.9,0.546920434,,,1,1.3,,61389-a1,0.2069,1457,17.964,15.46241255,14.17646587
,80794,80794-a,80794-a.1,,,Ornithischians,endotherm,terrestrial,,Ornithischian,tooth fragment,bulk,enamel,,,,,,,,80794-a.1,0.208,1365,18.188,16.17,13.82
,80794,80794-a,80794-a.2,,,Ornithischians,endotherm,terrestrial,,Ornithischian,tooth fragment,nulk,enamel,,,,,,,,80794-a.2,0.239,1898,24.317,17.94,13.77
,80795,80795-c,80795-c.1,,,Ornithischians,endotherm,terrestrial,,Ornithischian,,,enamel,,,,,,,,80795-c.1,0.46,2961,39.456,14.29,13.53
,80795,80795-d,80795-d.1,,,Ornithischians,endotherm,terrestrial,,Ornithischian,,,enamel,,,,,,,,80795-d.1,0.303,2190,29.038,16.63,15.74
,80795,80795-d,80795-d.2,,,Ornithischians,endotherm,terrestrial,,Ornithischian,,,enamel,,,,,,,,80795-d.2,0.118,745,10.048,17.95,16.04
144,60422,60422-a,60422-a.4,580.1,9/2/22,Sauropods,endotherm,terrestrial,,Sauropoda,tooth,,enamel,,0,,,2,2.1,,60422-a4,0.4077,2888,35.758,16.29915808,15.99889522
141,60423,60423-a,60423-a.1,535.9,9/1/22,Sauropods,endotherm,terrestrial,,Sauropoda,tooth,,enamel,239.4,0.446725135,,,2,2.1,,60423-a1,0.2394,1011,12.233,11.43341257,18.99983903
106,60427,60427-a,60427-a.1,364,5/24/22,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,serial,enamel,518.6,1.424725275,,,1,1.3,,60427-a1,0.5186,3524,44.669,16.16556966,16.78534513
107,60427,60427-a,60427-a.2a,427.5,5/24/22,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,serial,enamel,585.6,1.369824561,,,1,1.3,,60427-a2a,0.5856,3841,49.664,15.94931867,16.592688
108,60427,60427-a,60427-a.2b,375,5/24/22,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,serial,enamel,245.1,0.6536,,,1,1.3,,60427-a2b,0.2451,1730,21.331,15.70787984,16.21993037
,60482,60482-a,60482-a-1,,,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,,enamel,,,,,,,,60482-a4,0.248,1744,22.983,16.42,21.1
146,60482,60482-a,60482-a.5,449.1,9/1/22,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,,enamel,276.3,0.615230461,,,2,2.1,,60482-a5,0.2763,1544,18.957,13.92745221,22.47536934
145,60484,60484-a,60484-a.1,571.4,9/2/22,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,,enamel,,0,,,2,2.1,,60484-a1,0.3223,2384,29.453,17.35302492,18.59571597
140,61220,61220-a,61220-a.1,597.4,9/1/22,Sauropods,endotherm,terrestrial,ES,Sauropoda,tooth,,enamel,,0,,,2,2.1,,61220-a1,0.4717,3146,37.904,14.82523227,19.1076203
143,UNCAT001,UNCAT001-a,UNCAT001-a.1,501.6,9/2/22,Sauropods,endotherm,terrestrial,,Sauropoda,tooth,,enamel,565.2,1.126794258,,1,2,2.1,,UC001-a1,0.5652,2807,35.065,11.56900597,15.13298883
,80859,80859-a,80859-a.1,,,Hybodonts,ectotherm,aquatic,,Shark,,,enamel,,,,,,,,80859-a.1,0.116,611,9.133,17.05,10.8
,80859,80859-b,80859-b.1,,,Hybodonts,ectotherm,aquatic,,Shark,,,enamel,,,,,,,,80859-b.1,0.266,1803,23.807,15.91,15.27
,80859,80859-c,80859-c.1,,,Hybodonts,ectotherm,aquatic,,Shark,,,enamel,,,,,,,,80859-c.1,0.269,1792,25.012,16.28,9.77
119,60406,60406-a,60406-a.1,498,5/24/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,,enamel,592.8,1.190361446,,,1,1.3,,60406-a1,0.5728,3726,46.878,15.36906261,14.22288194
120,60406,60406-b,60406-b.1,349.1,5/24/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,,enamel,208.8,0.598109424,,,1,1.3,,60406-b1,0.2088,1424,16.682,15.30882563,17.55405804
121,60406,60406-c,60406-c.1a,482,5/24/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,,enamel,454.4,0.942738589,,,1,1.3,,60406-c1a,0.4544,3138,38.935,15.97064577,13.71248653
125,60406,60406-e,60406-e.1,576.2,5/24/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,,enamel,530,0.919819507,,,1,1.3,,60406-e1,0.53,1817,21.794,7.795443238,23.22319825
129,61348,61348-a,61348-a.1,345.7,9/2/22,Maniraptorans,endotherm,terrestrial,,Small Theropod,tooth,,enamel,352.2,1.01880243,,1,2,2.1,,61348-a1,0.3522,2250,27.557,14.98825272,13.65553388
112,61351,61351-a,61351-a.1a,450.4,5/24/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,,enamel,365.6,0.811722913,,,1,1.3,,61351-a1a,0.3566,2502,31.605,16.40962198,12.72700545
114,61352,61352-a,61352-a.1,531.7,5/24/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,,enamel,697.2,1.311265751,,,1,1.3,,61352-a1,0.6972,4607,59.033,15.99716509,17.16617443
128,61355,61355-a,61355-a.1a,571.5,9/2/22,Maniraptorans,endotherm,terrestrial,,Small Theropod,tooth,,enamel,332.7,0.582152231,,1,2,2.1,,61355-a1a,0.3327,1686,20.409,12.32167878,14.30604066
116,61357,61357-a,61357-a.1,394.7,4/28/22,Maniraptorans,endotherm,terrestrial,ES,Small Theropod,tooth,serial,enamel,,0,,,1,1.3,,61357-a1,0.3172,3510,44.495,25.72311962,13.8523666
130,61361,61361-a,61361-a.1,396.8,9/2/22,Maniraptorans,endotherm,terrestrial,,Small Theropod,tooth,,enamel,,0,,,2,2.1,,61361-a1,0.3901,2961,36.682,17.44779328,17.44573973
24,60379,60379-a,60379-a.1,511.5,1/26/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,348.6,0.681524927,,,1,1.2,,60379-a1,0.3486,2479,29.507,15.91656146,13.29354208
27,60379,60379-b,60379-b.1,534.5,2/3/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,371.1,0.694293732,,,1,1.2,,60379-b1,0.3711,2513,31.516,15.67930696,13.77083135
135,60379,60379-c,60379-c.2,573.2,9/1/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,595.5,1.038904396,,,2,2.1,,60379-c2,0.5955,3883,49.117,14.91621005,14.06762098
136,60379,60379-d,60379-d.1,493.8,9/1/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,512,1.036857027,,,2,2.1,,60379-d1,0.512,3563,44.05,15.62210166,15.02865964
138,60379,60379-e,60379-e.1,434.6,9/1/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,290.3,0.667970548,,,2,2.1,,60379-e1,0.2903,1962,23.309,15.74039986,14.1069935
149,60379,60379-h,60379-h.1,425.9,9/2/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,,0,,,2,2.1,,60379-h1,0.3869,2480,30.688,14.99998746,14.30036154
31,60379,60379-i,60379-i.2,447.7,2/3/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,222.4,0.496761224,,,2,2.1,,60379-i2,0.2224,1296,15.578,14.79879056,14.15635209
21,60379,60379-j,60379-j.1,427.8,1/24/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,365.3,0.853903693,,,1,1.2,,60379-j1,0.3653,2447,30.799,15.56693934,14.81588951
139,60379,60379-m,60379-m.1,577.5,9/1/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,,0,,,2,2.1,,60379-m1,0.3143,2153,26.29,16.13173291,14.93893865
137,60379,60379-r,60379-r.1,459.1,9/2/22,Naomichelys sp.,ectotherm,terrestrial,ES,Terrestrial Turtle,osteoscute fragment,,bone,291.8,0.635591374,,,2,2.1,,60379-r1,0.2918,1472,17.552,12.41848659,14.91338284
